City,Latitude,Longitude
Tokyo,35.6895,139.6917
Delhi,28.6139,77.2090
Shanghai,31.2304,121.4737
São Paulo,-23.5505,-46.6333
Mexico City,19.4326,-99.1332
Cairo,30.0444,31.2357
Mumbai,19.0760,72.8777
Beijing,39.9042,116.4074
Osaka,34.6937,135.5023
New York City,40.7128,-74.0060
Karachi,24.8607,67.0011
Chongqing,29.4316,106.9123
Istanbul,41.0082,28.9784
Buenos Aires,-34.6037,-58.3816
Lagos,6.5244,3.3792
Rio de Janeiro,-22.9068,-43.1729
Kinshasa,-4.4419,15.2663
Lima,-12.0464,-77.0428
Bangkok,13.7563,100.5018
Dhaka,23.8103,90.4125
